                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0885,                  0.999,                      1,                0.93741,             0.00023502,             0.00023502,             0.00023502
                      2,                0.10139,                      1,                      1,                0.90745,              0.0004262,              0.0004262,              0.0004262
                      3,                0.05261,                      1,                      1,                0.90673,             0.00057024,             0.00057024,             0.00057024
                      4,                0.04951,                      1,                      1,                0.90535,             0.00050194,             0.00050194,             0.00050194
                      5,                 0.0399,                      1,                      1,                0.90545,             0.00043126,             0.00043126,             0.00043126
                      6,                0.02968,                      1,                      1,                 0.9051,             0.00036057,             0.00036057,             0.00036057
                      7,                0.02487,                      1,                      1,                0.90502,             0.00028988,             0.00028988,             0.00028988
                      8,                 0.0211,                      1,                      1,                0.90499,              0.0002192,              0.0002192,              0.0002192
                      9,                 0.0215,                      1,                      1,                0.90494,             0.00014851,             0.00014851,             0.00014851
                     10,                0.01794,                      1,                      1,                0.90495,             7.7826e-05,             7.7826e-05,             7.7826e-05
